Method,Rank,1-23,,,,1-42,,,,1-71,,,,1-73,,,,1-78,,,,1-100,,,,2-6,,,,2-8,,,,3-7,,,,3-11,,,,4-10,,,,4-25,,,,4-28,,,,5-6,,,,5-13,,,,6-7,,,,6-22,,,,6-26,,,,6-31,,,,6-44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PSNR,SSIM,LPIPS,Size [MB],PSNR,SSIM,LPIPS,Size [MB],PSNR,SSIM,LPIPS,Size [MB],PSNR,SSIM,LPIPS,Size [MB],PSNR,SSIM,LPIPS,Size [MB],PSNR,SSIM,LPIPS,Size [MB],PSNR,SSIM,LPIPS,Size [MB],PSNR,SSIM,LPIPS,Size [MB],PSNR,SSIM,LPIPS,Size [MB],PSNR,SSIM,LPIPS,Size [MB],PSNR,SSIM,LPIPS,Size [MB],PSNR,SSIM,LPIPS,Size [MB],PSNR,SSIM,LPIPS,Size [MB],PSNR,SSIM,LPIPS,Size [MB],PSNR,SSIM,LPIPS,Size [MB],PSNR,SSIM,LPIPS,Size [MB],PSNR,SSIM,LPIPS,Size [MB],PSNR,SSIM,LPIPS,Size [MB],PSNR,SSIM,LPIPS,Size [MB],PSNR,SSIM,LPIPS,Size [MB],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAC++,2.500,26.421,0.860,0.173,19.976,27.824,0.831,0.231,7.218,28.961,0.895,0.144,15.226,28.340,0.880,0.150,17.702,27.140,0.865,0.175,17.227,28.998,0.912,0.118,16.787,28.508,0.893,0.119,21.032,28.489,0.849,0.292,8.522,28.772,0.860,0.187,17.473,27.757,0.852,0.196,14.001,28.756,0.865,0.186,17.419,27.471,0.930,0.099,19.513,28.311,0.890,0.293,6.946,27.981,0.915,0.136,20.859,30.128,0.923,0.124,15.245,31.520,0.947,0.087,6.695,32.732,0.955,0.059,17.582,28.424,0.886,0.160,19.829,27.870,0.872,0.152,21.325,27.705,0.900,0.123,16.324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC-GS,5.833,24.245,0.757,0.298,13.737,25.791,0.748,0.353,4.891,26.997,0.836,0.247,11.044,26.345,0.812,0.259,12.175,23.092,0.739,0.322,12.033,26.335,0.838,0.237,11.549,26.259,0.823,0.221,15.133,27.289,0.843,0.315,5.981,26.971,0.788,0.296,12.161,25.859,0.767,0.303,9.326,26.363,0.760,0.320,11.840,25.070,0.854,0.206,14.998,27.324,0.886,0.300,5.040,25.119,0.833,0.255,16.771,27.945,0.861,0.238,10.661,30.195,0.928,0.169,4.724,30.132,0.904,0.150,12.965,26.156,0.799,0.283,13.790,24.630,0.743,0.302,14.730,25.763,0.839,0.226,11.387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAT,6.333,23.686,0.728,0.275,14.402,25.694,0.735,0.315,5.037,26.913,0.828,0.194,11.308,25.642,0.786,0.220,14.333,23.404,0.746,0.280,14.350,26.291,0.830,0.175,13.114,25.721,0.791,0.183,15.436,27.268,0.838,0.232,5.879,26.765,0.770,0.271,12.530,25.677,0.754,0.264,11.353,26.293,0.738,0.269,13.082,23.376,0.782,0.203,13.623,27.468,0.886,0.184,5.261,24.542,0.801,0.181,17.670,27.575,0.840,0.162,10.881,30.646,0.929,0.081,5.547,29.760,0.890,0.098,14.817,25.747,0.774,0.235,14.568,24.662,0.735,0.251,16.607,25.699,0.830,0.166,13.550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
contextgs,6.833,25.082,0.794,0.256,29.602,27.056,0.802,0.287,10.721,27.465,0.851,0.228,19.089,27.239,0.834,0.234,24.362,24.904,0.800,0.260,29.260,27.752,0.871,0.196,30.165,27.203,0.851,0.188,26.773,27.634,0.852,0.304,9.615,28.104,0.828,0.249,23.656,26.962,0.811,0.258,18.385,27.387,0.814,0.260,22.572,26.330,0.889,0.166,29.372,27.602,0.894,0.289,8.652,26.488,0.876,0.195,38.089,28.648,0.881,0.215,17.806,32.224,0.947,0.137,12.997,30.892,0.917,0.130,22.025,27.628,0.846,0.233,27.485,25.407,0.781,0.260,38.916,27.057,0.874,0.184,23.152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAC,6.833,24.547,0.769,0.286,25.350,26.216,0.766,0.333,8.094,27.299,0.843,0.236,19.453,26.147,0.808,0.263,22.162,24.833,0.793,0.279,21.749,26.041,0.835,0.234,21.692,26.856,0.841,0.201,26.839,27.644,0.852,0.304,11.471,27.477,0.803,0.279,21.779,26.233,0.782,0.288,16.948,26.940,0.784,0.294,20.873,25.520,0.867,0.193,23.348,27.598,0.892,0.292,9.387,25.552,0.849,0.234,27.089,28.472,0.875,0.222,18.358,30.735,0.934,0.157,8.237,30.795,0.915,0.134,23.233,26.631,0.815,0.266,23.551,25.102,0.762,0.283,26.443,26.142,0.850,0.213,19.865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDO-gaussian,8.333,23.617,0.737,0.310,14.056,24.851,0.717,0.391,5.413,25.606,0.779,0.324,6.653,25.019,0.774,0.298,8.611,23.908,N/A,0.310,11.242,26.099,0.824,0.253,13.383,25.137,0.785,0.264,14.721,26.034,0.813,0.348,2.728,24.857,0.720,0.367,6.012,25.062,0.733,0.332,8.510,24.683,0.669,0.406,6.356,24.471,0.841,0.204,27.043,25.424,0.864,0.320,2.975,24.734,0.821,0.254,31.878,26.465,0.804,0.298,7.562,28.492,0.896,0.209,4.634,28.205,0.859,0.203,12.535,25.113,N/A,0.306,14.842,24.250,0.730,0.311,13.389,24.528,0.806,0.255,12.260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scaffold-gs,9.167,25.282,0.813,0.229,287.701,28.609,0.865,0.206,253.848,27.848,0.867,0.198,254.261,27.442,0.848,0.212,275.421,24.626,0.805,0.253,286.129,28.394,0.889,0.166,287.151,27.208,0.859,0.174,250.227,27.872,0.862,0.289,144.619,27.648,0.836,0.235,247.447,27.140,0.827,0.236,194.238,27.206,0.829,0.237,202.018,26.160,0.893,0.157,235.048,27.677,0.898,0.281,132.520,26.546,0.885,0.181,303.557,28.866,0.891,0.198,174.855,33.142,0.956,0.120,182.918,31.665,0.934,0.101,227.471,27.896,0.866,0.202,255.769,25.676,0.801,0.243,319.983,26.782,0.878,0.173,225.657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compact3d,9.833,23.930,0.752,0.305,28.850,25.731,0.759,0.354,16.710,26.123,0.806,0.296,16.790,25.595,0.795,0.285,20.170,24.268,0.773,0.310,21.480,26.528,0.841,0.242,25.880,25.676,0.808,0.248,33.560,26.797,0.836,0.326,9.290,25.673,0.754,0.341,16.420,25.848,0.771,0.306,22.320,25.533,0.734,0.354,19.950,24.828,0.856,0.206,50.320,25.872,0.879,0.307,8.510,25.239,0.841,0.248,58.440,27.597,0.858,0.247,25.990,30.827,0.933,0.157,17.930,29.208,0.891,0.170,29.810,25.827,0.792,0.299,31.100,24.723,0.748,0.308,26.040,25.088,0.828,0.240,24.820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reduced3dgs,10.000,25.349,0.810,0.238,325.088,27.362,0.816,0.277,151.595,N/A,N/A,N/A,188.577,26.955,0.838,0.228,194.613,N/A,N/A,N/A,267.509,28.355,0.887,0.175,350.452,27.657,0.866,0.178,358.461,27.631,0.857,0.297,92.745,N/A,N/A,N/A,134.585,27.381,0.829,0.237,211.414,26.851,0.795,0.287,160.170,27.461,0.920,0.124,576.099,N/A,N/A,N/A,109.507,27.952,0.913,0.146,688.216,29.295,0.900,0.192,247.010,32.409,0.949,0.129,155.277,N/A,N/A,N/A,364.637,28.007,0.860,0.217,332.755,26.562,0.825,0.225,299.771,26.936,0.885,0.166,307.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gsplat,10.083,25.355,0.810,0.219,600.000,28.285,0.847,0.216,601.000,27.423,0.849,0.213,602.000,27.116,0.841,0.207,603.000,26.019,0.838,0.226,604.000,28.665,0.891,0.144,605.000,27.628,0.865,0.145,606.000,27.643,0.857,0.306,607.000,27.301,0.804,0.284,608.000,27.462,0.830,0.211,609.000,26.816,0.794,0.267,610.000,27.520,0.921,0.100,611.000,26.745,0.896,0.292,612.000,28.010,0.915,0.104,613.000,29.272,0.900,0.155,614.000,32.454,0.950,0.083,615.000,32.402,0.941,0.070,616.000,26.760,0.832,0.198,617.000,26.965,0.887,0.139,618.000,28.198,0.863,0.194,619.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
