group,scene,run_id,variant,iteration,lambda,feat_dim,mlp_quant,psnr,ssim,lpips,total_mb,anchors_trained,anchors_coded,metric_type,metric_value,notes,source,method_rank
phg_main,4-28,4-28_i6_90k_h32,PHG h32 90k (I2+I6),90000,0.004,50,float32,28.655,0.8921,0.2767,5.5604,259061,,render_metrics,,eval 1600 宽; 主对照行,PHG docs,
phg_main,4-28,4-28_i6_90k_h25,PHG h25 90k (I2+I6),90000,0.004,50,float32,28.637,0.8922,0.2767,5.5240,,,,,mlp_complexity hidden=25,PHG docs,
phg_main,4-28,4-28_i6_90k_h32_30k,PHG h32 30k (I2+I6),30000,0.004,50,float32,27.879,0.8867,0.2758,6.0130,,,,,30k 短训,PHG docs,
phg_main,4-28,4-28_i6_90k_dim16,PHG dim16 90k,90000,0.004,16,float32,28.273,0.8877,0.2815,4.0279,,,,,feat_dim=16,PHG docs,
phg_main,4-28,4-28_i6_90k_dim32,PHG dim32 90k,90000,0.004,32,float32,28.455,0.8901,0.2796,4.5630,,,,,feat_dim=32,PHG docs,
phg_main,4-28,4-28_i6_90k_h32_l0p002,PHG h32 90k λ0.002,90000,0.002,50,float32,28.988,0.8974,0.2708,8.3069,338130,,render_metrics,,高 PSNR 分支,annotation,
phg_main,4-28,4-28_lxdim_110k_dim50_l0p004,PHG 110k dim50 λ0.004 baseline,110000,0.004,50,float32,28.825,0.8926,,5.6471,254921,,render_metrics,,eval 标签显示 30000 为 bug 实际 110k,5090 results,
phg_main,4-28,4-28_lxdim_110k_dim50_l0p004,PHG 110k dim50 λ0.004 + MLP 量化,110000,0.004,50,cd8_rest16,28.8235,0.8926,0.2771,5.4852,254921,,render_metrics,,attr_MB=5.3202 mlp_payload=0.165; 最优操作点,mlp_quant results.json,
phg_step_sweep,4-28,4-28_i6_90k_h32_120k,step=60000,60000,0.004,50,float32,28.545,0.8938,,6.9627,,,,,120k 训练中途 checkpoint 评估,5090 eval_step,
phg_step_sweep,4-28,4-28_i6_90k_h32_120k,step=70000,70000,0.004,50,float32,28.609,0.8939,,6.3974,,,,,,5090 eval_step,
phg_step_sweep,4-28,4-28_i6_90k_h32_120k,step=80000,80000,0.004,50,float32,28.681,0.8937,,6.1106,,,,,,5090 eval_step,
phg_step_sweep,4-28,4-28_i6_90k_h32_120k,step=90000,90000,0.004,50,float32,28.682,0.8933,,5.9427,,,,,,5090 eval_step,
phg_step_sweep,4-28,4-28_i6_90k_h32_120k,step=100000,100000,0.004,50,float32,28.771,0.8929,,5.7769,,,,,,5090 eval_step,
phg_step_sweep,4-28,4-28_i6_90k_h32_120k,step=110000,110000,0.004,50,float32,28.825,0.8926,,5.6471,,,,,PSNR 极大值点 → 选 110k,5090 eval_step,
phg_step_sweep,4-28,4-28_i6_90k_h32_120k,step=120000,120000,0.004,50,float32,,,,,,,,,120k 评估缺失（用户确认 110k 为最佳轮数）,5090,
phg_rd_qscale,4-28,4-28_i6_90k_h32,q_scale=0.75,90000,0.004,50,float32,28.707,0.8928,0.2761,6.0881,,,,,RD 曲线,PHG docs,
phg_rd_qscale,4-28,4-28_i6_90k_h32,q_scale=0.875,90000,0.004,50,float32,28.685,0.8925,0.2764,5.7970,,,,,,PHG docs,
phg_rd_qscale,4-28,4-28_i6_90k_h32,q_scale=1.0,90000,0.004,50,float32,28.655,0.8921,0.2767,5.5604,,,,,,PHG docs,
phg_rd_qscale,4-28,4-28_i6_90k_h32,q_scale=1.125,90000,0.004,50,float32,28.626,0.8917,0.2771,5.3637,,,,,,PHG docs,
phg_rd_qscale,4-28,4-28_i6_90k_h32,q_scale=1.25,90000,0.004,50,float32,28.587,0.8913,0.2775,5.1977,,,,,,PHG docs,
phg_rd_qscale,4-28,4-28_i6_90k_h32,q_scale=1.5,90000,0.004,50,float32,28.502,0.8902,0.2785,4.9329,,,,,,PHG docs,
phg_rd_qscale,4-28,4-28_i6_90k_h32,q_scale=2.0,90000,0.004,50,float32,28.286,0.8874,0.2810,4.5751,,,,,,PHG docs,
phg_attr_ctx,4-28,4-28_i6_90k_h32_l0p002,R4 attr_ctx scaling-only 8bit,90000,0.002,50,cd8_rest16,28.988,0.8974,0.2708,8.2730,338130,,render_metrics,0.0339,净省 0.0339 MB(0.41%); payload 13381B; 质量不变; 默认关,R4 report,
phg_mlp_quant,DB-playroom,db_playroom_i6_110k_h32_l0p002,playroom 110k baseline,110000,0.002,50,float32,30.7310,0.9130,0.2575,4.3819,148569,,render_metrics,,eval 标签 30000 为 bug 实际 110k,5090 results,
phg_mlp_quant,DB-playroom,db_playroom_i6_110k_h32_l0p002,playroom 110k + MLP 量化,110000,0.002,50,cd8_rest16,30.7288,0.9130,0.2575,4.2231,148569,,render_metrics,,attr_MB=4.0578 mlp_payload=0.1653,mlp_quant results.json,
phg_mlp_quant,DB-drjohnson,db_drjohnson_i6_110k_h32_l0p002,drjohnson 110k baseline,110000,0.002,50,float32,30.0376,0.9112,0.2459,7.0156,252965,,render_metrics,,eval 标签 30000 为 bug 实际 110k,5090 results,
