Method,Rank,1-23 PSNR,1-23 SSIM,1-23 LPIPS,1-23 Size [MB],1-42 PSNR,1-42 SSIM,1-42 LPIPS,1-42 Size [MB],1-71 PSNR,1-71 SSIM,1-71 LPIPS,1-71 Size [MB],1-73 PSNR,1-73 SSIM,1-73 LPIPS,1-73 Size [MB],1-78 PSNR,1-78 SSIM,1-78 LPIPS,1-78 Size [MB],1-100 PSNR,1-100 SSIM,1-100 LPIPS,1-100 Size [MB],2-6 PSNR,2-6 SSIM,2-6 LPIPS,2-6 Size [MB],2-8 PSNR,2-8 SSIM,2-8 LPIPS,2-8 Size [MB],3-7 PSNR,3-7 SSIM,3-7 LPIPS,3-7 Size [MB],3-11 PSNR,3-11 SSIM,3-11 LPIPS,3-11 Size [MB],4-10 PSNR,4-10 SSIM,4-10 LPIPS,4-10 Size [MB],4-25 PSNR,4-25 SSIM,4-25 LPIPS,4-25 Size [MB],4-28 PSNR,4-28 SSIM,4-28 LPIPS,4-28 Size [MB],5-6 PSNR,5-6 SSIM,5-6 LPIPS,5-6 Size [MB],5-13 PSNR,5-13 SSIM,5-13 LPIPS,5-13 Size [MB],6-7 PSNR,6-7 SSIM,6-7 LPIPS,6-7 Size [MB],6-22 PSNR,6-22 SSIM,6-22 LPIPS,6-22 Size [MB],6-26 PSNR,6-26 SSIM,6-26 LPIPS,6-26 Size [MB],6-31 PSNR,6-31 SSIM,6-31 LPIPS,6-31 Size [MB],6-44 PSNR,6-44 SSIM,6-44 LPIPS,6-44 Size [MB]
HAC++,2.5,26.4210262,0.8604652,0.1730247,19.9763,27.8241024,0.8311262,0.2310113,7.2184,28.9611397,0.8948575,0.143532,15.2262,28.34025,0.8797523,0.1504286,17.7017,27.1402988,0.8650454,0.1753356,17.2267,28.9980888,0.911899,0.1183993,16.7867,28.5075588,0.8932068,0.1193256,21.0318,28.4894733,0.8489747,0.2919536,8.5221,28.7716312,0.8603619,0.1873997,17.4727,27.7565098,0.8523059,0.1956408,14.0013,28.7555428,0.8649568,0.1857659,17.4193,27.4711266,0.9300284,0.0992014,19.513,28.3112106,0.8900191,0.2932005,6.9462,27.9813118,0.9149902,0.1360422,20.8589,30.1284351,0.9226133,0.1237674,15.2448,31.5202351,0.9470963,0.0868725,6.6946,32.7319374,0.9545164,0.0585299,17.5817,28.4239883,0.8863023,0.1601174,19.8292,27.8695126,0.8724272,0.1523558,21.3248,27.7046185,0.9004002,0.1229148,16.3244
PC-GS,5.83333333333333,24.2449745432536,0.756986339092255,0.298318522175153,13.736558,25.7906228892009,0.747630612850189,0.352787577907244,4.891437,26.997124265035,0.835620380242666,0.247288046181202,11.04355,26.3452050145467,0.811997399727504,0.259120428661505,12.175252,23.0924559402466,0.738597989479701,0.3218908187747,12.032964,26.3349418385824,0.83809077779452,0.236736764808496,11.548909,26.2594537353516,0.822637970050176,0.221489236652851,15.133057,27.2887119674683,0.84301064213117,0.315423271755377,5.981254,26.9710855611165,0.788254957596461,0.295555438796679,12.160627,25.8592130152384,0.767205475568771,0.303455533385277,9.326117,26.3632615788778,0.760313339233398,0.31960052827994,11.839712,25.0704277038574,0.853844324747721,0.205651816924413,14.997635,27.3239948527018,0.886475720405579,0.299529713789622,5.039911,25.1185614522298,0.833476752440135,0.25474388062954,16.770588,27.9453977966309,0.860658568938573,0.238431694706281,10.660512,30.1952972539266,0.927782543500265,0.169383365809918,4.723594,30.1319003423055,0.904339927037557,0.149618628621101,12.964773,26.1564897155762,0.798739554087321,0.282720829844475,13.790276,24.6298797098796,0.743228747049967,0.301504383583864,14.730293,25.762526919047,0.838633414506912,0.226421431601047,11.386512
CAT,6.33333333333333,23.6856376012166,0.727565755049388,0.275205951631069,14.4018,25.694200592041,0.734608352979024,0.315204780201117,5.0367,26.91304591,0.827933444182078,0.194364319940408,11.3082,25.6417585245768,0.785985929171244,0.219612761338552,14.3331,23.4035920461019,0.745614897807439,0.279530419508616,14.3498,26.2911794408162,0.830497716665268,0.174829823722442,13.1139,25.7205845006307,0.791498023271561,0.182850686957439,15.4358,27.2679122161865,0.838157556454341,0.231881988346577,5.8792,26.765420328776,0.770186855395635,0.270691036085288,12.5301,25.6772613143921,0.754230043490728,0.263563429613908,11.3532,26.2925871658325,0.738299224376678,0.268813088138898,13.082,23.3760330835978,0.781764648358027,0.203203884959221,13.6228,27.4677114359538,0.886344842910767,0.184458232025305,5.2609,24.5422844187419,0.800950435400009,0.181391605436802,17.6703,27.5750689442952,0.839906338453293,0.162266380041838,10.8807,30.6455845006307,0.928718664646149,0.0812168592462937,5.5467,29.7599728902181,0.889522881507874,0.097536360124747,14.817,25.746728477478,0.774477600653966,0.235280676980813,14.5682,24.6616791788737,0.735021274884542,0.250899604062239,16.6068,25.6990602620443,0.829605714877446,0.165628845791022,13.5497
contextgs,6.83333333333333,25.081728,0.7942606,0.2558984,29.6018,27.0560741,0.8021013,0.2873368,10.7206,27.4653645,0.8511974,0.2275679,19.0894,27.2387238,0.8341645,0.2337614,24.3621,24.9038811,0.8000675,0.2604263,29.2599,27.7519073,0.8705066,0.1959446,30.1653,27.202837,0.8514699,0.1876525,26.7733,27.6341381,0.8523443,0.303869,9.6151,28.1041985,0.8278973,0.248594,23.656,26.9616203,0.8111404,0.2578793,18.3846,27.3873234,0.8141537,0.259859,22.5718,26.3295345,0.889219,0.1658619,29.3716,27.601511,0.894217,0.2891074,8.6522,26.4879456,0.8757019,0.1954495,38.089,28.6482944,0.8806279,0.2150225,17.8058,32.2236214,0.9474726,0.1374141,12.9974,30.8916283,0.9173516,0.1296265,22.0251,27.6279945,0.8459287,0.2330067,27.4847,25.4068871,0.781113,0.2600413,38.9159,27.0569515,0.874159,0.1836152,23.152
HAC,6.83333333333333,24.5467052,0.7685331,0.2860212,25.3499,26.2159233,0.765749,0.3333657,8.0935,27.2987404,0.8432788,0.2355044,19.4531,26.1471519,0.8077174,0.2630094,22.1617,24.8326206,0.7931154,0.2786461,21.749,26.0412655,0.8346072,0.2339711,21.6915,26.8560028,0.8412865,0.2005192,26.8386,27.6441994,0.8516958,0.3038054,11.4706,27.4767933,0.8031058,0.2789896,21.7789,26.233427,0.7823259,0.2881593,16.9483,26.9401245,0.7843508,0.2942497,20.8727,25.5196705,0.8668884,0.1930331,23.348,27.5982227,0.8917002,0.2920292,9.3867,25.5521984,0.8488785,0.23419,27.0889,28.4717522,0.8745163,0.221853,18.3575,30.7345543,0.9341413,0.1571178,8.237,30.7950096,0.9146297,0.1336336,23.2333,26.6310654,0.8145486,0.2657655,23.5512,25.1024971,0.7619357,0.2832352,26.4428,26.1416225,0.8499572,0.2131757,19.8647
RDO-gaussian,8.33333333333333,23.6174259185791,0.736904144287109,0.310347855091095,14.056154,24.8508148193359,0.717023432254791,0.390913665294647,5.412668,25.6064167022705,0.778911769390106,0.323709458112717,6.653484,25.0192699432373,0.774054050445557,0.297947198152542,8.610857,23.9076499938965,N/A,0.3097083568573,11.24202,26.0989265441894,0.824337124824524,0.253226220607758,13.382816,25.1366901397705,0.785330176353455,0.26409313082695,14.720747,26.0337677001953,0.812982201576233,0.347755551338196,2.728432,24.8570156097412,0.720056176185608,0.367182046175003,6.011526,25.0623531341553,0.733339965343475,0.332273215055466,8.509802,24.6828002929688,0.669133365154266,0.406420707702637,6.356115,24.4705333709717,0.841341197490692,0.204237714409828,27.043165,25.4244766235352,0.864424765110016,0.320452958345413,2.974501,24.7336292266846,0.821166276931763,0.254461824893951,31.878344,26.4651279449463,0.803822100162506,0.297898203134537,7.562269,28.4924869537354,0.896189987659454,0.208815008401871,4.633823,28.2045288085938,0.858927011489868,0.202965751290321,12.534899,25.1128349304199,N/A,0.306369215250015,14.841913,24.2500019073486,0.729793310165405,0.311491072177887,13.389475,24.5278701782227,0.805504024028778,0.255039811134338,12.260286
Scaffold-gs,9.16666666666667,25.2818584442139,0.812543451786041,0.228811398148537,287.70073223114,28.6087951660156,0.864574491977692,0.205611974000931,253.847937583923,27.8482284545898,0.866554260253906,0.197612196207047,254.260500907898,27.441987991333,0.84838604927063,0.21194115281105,275.420870780945,24.6257839202881,0.805300712585449,0.252856522798538,286.129435539246,28.3944110870361,0.88916689157486,0.166491448879242,287.151350975037,27.2075614929199,0.859432458877563,0.173863604664803,250.226782798767,27.8717651367188,0.862289130687714,0.288635820150375,144.619311332703,27.6477603912354,0.836354792118073,0.235018134117126,247.446726799011,27.1398143768311,0.826672315597534,0.23550346493721,194.237509727478,27.2064037322998,0.829205632209778,0.237066447734833,202.017748832703,26.1600685119629,0.892572939395905,0.157156303524971,235.04843044281,27.6770534515381,0.898102223873138,0.281375825405121,132.51966381073,26.5458316802979,0.884947597980499,0.180566534399986,303.55744934082,28.866491317749,0.891143620014191,0.197519734501839,174.854567527771,33.1415672302246,0.955672919750214,0.120291471481323,182.918387413025,31.6647205352783,0.933974385261536,0.101225152611732,227.471308708191,27.8958206176758,0.865782141685486,0.201883792877197,255.76881313324,25.6756229400635,0.800742208957672,0.242671400308609,319.982833862305,26.7820377349854,0.877959668636322,0.172601655125618,225.657114982605
compact3d,9.83333333333333,23.9302330017089,0.752110660076141,0.305081307888031,28.85,25.7305183410644,0.759011268615722,0.353717476129531,16.71,26.1233768463134,0.806261599063873,0.29588633775711,16.79,25.5953845977783,0.794861614704132,0.285044521093368,20.17,24.2683925628662,0.77310162782669,0.310129791498184,21.48,26.5281505584716,0.840569853782653,0.241647079586982,25.88,25.6756992340087,0.807849466800689,0.248203933238983,33.56,26.7969436645507,0.836199045181274,0.326322764158248,9.29,25.6734237670898,0.754473388195037,0.340833783149719,16.42,25.8475227355957,0.771353900432586,0.305973231792449,22.32,25.5325546264648,0.73383229970932,0.353763192892074,19.95,24.8275470733642,0.855581045150756,0.205920234322547,50.32,25.8716430664062,0.87857186794281,0.306720823049545,8.51,25.2394752502441,0.840728819370269,0.247803822159767,58.44,27.5965328216552,0.858090221881866,0.24675765633583,25.99,30.8271121978759,0.93262755870819,0.156585827469825,17.93,29.2081966400146,0.890851855278015,0.169573217630386,29.81,25.827070236206,0.791820645332336,0.299285858869552,31.1,24.7226467132568,0.74837839603424,0.308004111051559,26.04,25.088430404663,0.828091621398925,0.239921793341636,24.82
reduced3dgs,10,25.3486938476563,0.810042798519135,0.238102823495865,325.0878906,27.3619213104248,0.816340565681458,0.277212977409363,151.594688415527,N/A,N/A,N/A,188.576549530029,26.9551315307617,0.83766508102417,0.227639108896255,194.61251449585,N/A,N/A,N/A,267.508613586426,28.354621887207,0.886649370193481,0.175439223647118,350.451511383057,27.6566314697266,0.865559697151184,0.177943229675293,358.461116790771,27.6314544677734,0.857343971729279,0.297369778156281,92.7454566955566,N/A,N/A,N/A,134.585025787353,27.3813705444336,0.829280197620392,0.237268313765526,211.414203643799,26.8509254455566,0.794864118099213,0.286606103181839,160.169525146484,27.4611644744873,0.92029196023941,0.123647026717663,576.098846435547,N/A,N/A,N/A,109.507068634033,27.9524021148682,0.913038313388824,0.146131038665772,688.216462135315,29.2953224182129,0.899826884269714,0.191665232181549,247.010028839111,32.4093475341797,0.949407339096069,0.129197746515274,155.276733398437,N/A,N/A,N/A,364.637027740479,28.0068740844727,0.859857082366943,0.216640621423721,332.754570007324,26.5620670318604,0.825496852397919,0.224838256835937,299.770896911621,26.935941696167,0.885481059551239,0.165733724832535,307.025325775146
gsplat,10.0833333333333,25.355,0.8101,0.219,600,28.285,0.847,0.216,601,27.423,0.8493,0.213,602,27.116,0.8409,0.207,603,26.019,0.8377,0.226,604,28.665,0.891,0.144,605,27.628,0.8646,0.145,606,27.643,0.8572,0.306,607,27.301,0.8039,0.284,608,27.462,0.8295,0.211,609,26.816,0.794,0.267,610,27.52,0.9206,0.1,611,26.745,0.8962,0.292,612,28.01,0.9146,0.104,613,29.272,0.8995,0.155,614,32.454,0.9502,0.083,615,32.402,0.9408,0.07,616,26.76,0.8316,0.198,617,26.965,0.8867,0.139,618,28.198,0.8628,0.194,619
